Year,Series ID: EMISS.CO2-TOTV-TT-PE-US.A million metric tons CO2
2016,2324.927009
2015,2259.415101
2014,2214.290405
2013,2191.45841
2012,2152.097652
2011,2215.645501
2010,2257.732078
2009,2222.281532
2008,2358.792161
2007,2525.741385
2006,2533.795632
2005,2558.55478
2004,2553.776546
2003,2476.802178
2002,2427.771896
2001,2427.960785
2000,2421.922442
1999,2370.377282
1998,2327.924874
1997,2294.637833
1996,2261.704933
1995,2184.125023
1994,2193.711359
1993,2151.670905
1992,2129.941787
1991,2101.695411
1990,2153.945377
1989,2204.50247
1988,2202.566349
1987,2105.87088
1986,2080.480419
1985,1990.584108
1984,2005.781771
1983,1971.028903
1982,1982.509482
1981,2095.168209
1980,2263.426338
