Month,Series ID: PET.MTTEXUS1.M Thousand Barrels
Feb 2019,236676
Jan 2019,251213
Dec 2018,255750
Nov 2018,260069
Oct 2018,248557
Sep 2018,228337
Aug 2018,218332
Jul 2018,242640
Jun 2018,234028
May 2018,233015
Apr 2018,231902
Mar 2018,220257
Feb 2018,191628
Jan 2018,205053
Dec 2017,221209
Nov 2017,214320
Oct 2017,219679
Sep 2017,188665
Aug 2017,175630
Jul 2017,195036
Jun 2017,187560
May 2017,193188
Apr 2017,188325
Mar 2017,187667
Feb 2017,180895
Jan 2017,174982
Dec 2016,172787
Nov 2016,162779
Oct 2016,154521
Sep 2016,163180
Aug 2016,157992
Jul 2016,162014
Jun 2016,163109
May 2016,177922
Apr 2016,155856
Mar 2016,157839
Feb 2016,143086
Jan 2016,154285
Dec 2015,163253
Nov 2015,147099
Oct 2015,143113
Sep 2015,145540
Aug 2015,139730
Jul 2015,153775
Jun 2015,139697
May 2015,150436
Apr 2015,148129
Mar 2015,126848
Feb 2015,129922
Jan 2015,141837
Dec 2014,151650
Nov 2014,130584
Oct 2014,128154
Sep 2014,118410
Aug 2014,138174
Jul 2014,138382
Jun 2014,124649
May 2014,127495
Apr 2014,119225
Mar 2014,123780
Feb 2014,102416
Jan 2014,121251
Dec 2013,142649
Nov 2013,119000
Oct 2013,126288
Sep 2013,108947
Aug 2013,115463
Jul 2013,119369
Jun 2013,107810
May 2013,107618
Apr 2013,97041
Mar 2013,96447
Feb 2013,91836
Jan 2013,89320
Dec 2012,112717
Nov 2012,102124
Oct 2012,100897
Sep 2012,94911
Aug 2012,95526
Jul 2012,100361
Jun 2012,96473
May 2012,99428
Apr 2012,98153
Mar 2012,96593
Feb 2012,86825
Jan 2012,88958
Dec 2011,113687
Nov 2011,94763
Oct 2011,96327
Sep 2011,95223
Aug 2011,93075
Jul 2011,94637
Jun 2011,81474
May 2011,84787
Apr 2011,92143
Mar 2011,84709
Feb 2011,73766
Jan 2011,85257
Dec 2010,81965
Nov 2010,77955
Oct 2010,76880
Sep 2010,70337
Aug 2010,74719
Jul 2010,77999
Jun 2010,69117
May 2010,74372
Apr 2010,72974
Mar 2010,66622
Feb 2010,56949
Jan 2010,58797
Dec 2009,61887
Nov 2009,60870
Oct 2009,68907
Sep 2009,63152
Aug 2009,65687
Jul 2009,72794
Jun 2009,58881
May 2009,62468
Apr 2009,57010
Mar 2009,56968
Feb 2009,50615
Jan 2009,59567
Dec 2008,57533
Nov 2008,51609
Oct 2008,51384
Sep 2008,39675
Aug 2008,63647
Jul 2008,63588
Jun 2008,64389
May 2008,55579
Apr 2008,52168
Mar 2008,56021
Feb 2008,53588
Jan 2008,50210
Dec 2007,47814
Nov 2007,53000
Oct 2007,41079
Sep 2007,40827
Aug 2007,45968
