Month,Series ID: NG.N9010US2.M Million Cubic Feet
Jan-73,
Feb-73,
Mar-73,
Apr-73,
May-73,
Jun-73,
Jul-73,
Aug-73,
Sep-73,
Oct-73,
Nov-73,
Dec-73,
Jan-74,
Feb-74,
Mar-74,
Apr-74,
May-74,
Jun-74,
Jul-74,
Aug-74,
Sep-74,
Oct-74,
Nov-74,
Dec-74,
Jan-75,
Feb-75,
Mar-75,
Apr-75,
May-75,
Jun-75,
Jul-75,
Aug-75,
Sep-75,
Oct-75,
Nov-75,
Dec-75,
Jan-76,
Feb-76,
Mar-76,
Apr-76,
May-76,
Jun-76,
Jul-76,
Aug-76,
Sep-76,
Oct-76,
Nov-76,
Dec-76,
Jan-77,
Feb-77,
Mar-77,
Apr-77,
May-77,
Jun-77,
Jul-77,
Aug-77,
Sep-77,
Oct-77,
Nov-77,
Dec-77,
Jan-78,
Feb-78,
Mar-78,
Apr-78,
May-78,
Jun-78,
Jul-78,
Aug-78,
Sep-78,
Oct-78,
Nov-78,
Dec-78,
Jan-79,
Feb-79,
Mar-79,
Apr-79,
May-79,
Jun-79,
Jul-79,
Aug-79,
Sep-79,
Oct-79,
Nov-79,
Dec-79,
Jan-80,1960000
Feb-80,1840000
Mar-80,1971000
Apr-80,1806000
May-80,1840000
Jun-80,1725000
Jul-80,1756000
Aug-80,1716000
Sep-80,1723000
Oct-80,1790000
Nov-80,1790000
Dec-80,1949000
Jan-81,1890000
Feb-81,1702000
Mar-81,1871000
Apr-81,1808000
May-81,1838000
Jun-81,1770000
Jul-81,1797000
Aug-81,1841000
Sep-81,1716000
Oct-81,1781000
Nov-81,1714000
Dec-81,1860000
Jan-82,1870000
Feb-82,1716000
Mar-82,1822000
Apr-82,1719000
May-82,1698000
Jun-82,1647000
Jul-82,1672000
Aug-82,1643000
Sep-82,1574000
Oct-82,1615000
Nov-82,1627000
Dec-82,1669000
Jan-83,1748117
Feb-83,1521467
Mar-83,1577466
Apr-83,1542366
May-83,1532055
