Month,Series ID: PET.MTTUPUS1.M Thousand Barrels
Feb 2019,565424
Jan 2019,634016
Dec 2018,634854
Nov 2018,616440
Oct 2018,643980
Sep 2018,598542
Aug 2018,660371
Jul 2018,639261
Jun 2018,621160
May 2018,631052
Apr 2018,598228
Mar 2018,637763
Feb 2018,549344
Jan 2018,634301
Dec 2017,630027
Nov 2017,609217
Oct 2017,619679
Sep 2017,589218
Aug 2017,627787
Jul 2017,623687
Jun 2017,616837
May 2017,622054
Apr 2017,587860
Mar 2017,621864
Feb 2017,537331
Jan 2017,599008
Dec 2016,619503
Nov 2016,589766
Oct 2016,609153
Sep 2016,592705
Aug 2016,628518
Jul 2016,613045
Jun 2016,595385
May 2016,599173
Apr 2016,580207
Mar 2016,611574
Feb 2016,575551
Jan 2016,590947
Dec 2015,607264
Nov 2015,573823
Oct 2015,604212
Sep 2015,582976
Aug 2015,618124
Jul 2015,624165
Jun 2015,595593
May 2015,598794
Apr 2015,577537
Mar 2015,599538
Feb 2015,550604
Jan 2015,597102
Dec 2014,603779
Nov 2014,581169
Oct 2014,610969
Sep 2014,577184
Aug 2014,600707
Jul 2014,596962
Jun 2014,566106
May 2014,575777
Apr 2014,565136
Mar 2014,572147
Feb 2014,529650
Jan 2014,591943
Dec 2013,588635
Nov 2013,584716
Oct 2013,599181
Sep 2013,578156
Aug 2013,593591
Jul 2013,597263
Jun 2013,564046
May 2013,581753
Apr 2013,557375
Mar 2013,574466
Feb 2013,522315
Jan 2013,581411
Dec 2012,562406
Nov 2012,556000
Oct 2012,580131
Sep 2012,542866
Aug 2012,593350
Jul 2012,574077
Jun 2012,565571
May 2012,575889
Apr 2012,545451
Mar 2012,562623
Feb 2012,540230
Jan 2012,567522
Dec 2011,580894
Nov 2011,571065
Oct 2011,583108
Sep 2011,565439
Aug 2011,600224
Jul 2011,580089
Jun 2011,575703
May 2011,570689
Apr 2011,557470
Mar 2011,595602
Feb 2011,526688
Jan 2011,586674
Dec 2010,611599
Nov 2010,568913
Oct 2010,587978
Sep 2010,583758
Aug 2010,609854
Jul 2010,598544
Jun 2010,586574
May 2010,584997
Apr 2010,571341
Mar 2010,591608
Feb 2010,527591
Jan 2010,577988
Dec 2009,596333
Nov 2009,562590
Oct 2009,582888
Sep 2009,557833
Aug 2009,587432
Jul 2009,577412
Jun 2009,564829
May 2009,564542
Apr 2009,560172
Mar 2009,580286
Feb 2009,527011
Jan 2009,590234
Dec 2008,593409
Nov 2008,571573
Oct 2008,610647
Sep 2008,535165
Aug 2008,597441
Jul 2008,606254
Jun 2008,590342
May 2008,613723
Apr 2008,594449
Mar 2008,614758
Feb 2008,580836
Jan 2008,627656
Dec 2007,642299
Nov 2007,616040
Oct 2007,634769
Sep 2007,612438
Aug 2007,651790
Jul 2007,643155
Jun 2007,621692
May 2007,639235
Apr 2007,616079
Mar 2007,636610
Feb 2007,596651
Jan 2007,637580
Dec 2006,644652
Nov 2006,620061
Oct 2006,643837
Sep 2006,616765
Aug 2006,664448
Jul 2006,642948
Jun 2006,629452
May 2006,634167
Apr 2006,606038
Mar 2006,638859
Feb 2006,576155
Jan 2006,633525
Dec 2005,666357
Nov 2005,618701
Oct 2005,627838
Sep 2005,604247
Aug 2005,671648
Jul 2005,649104
Jun 2005,635951
May 2005,638792
Apr 2005,604101
Mar 2005,651274
Feb 2005,583252
Jan 2005,641524
Dec 2004,658099
Nov 2004,624161
Oct 2004,646687
Sep 2004,615858
Aug 2004,651864
Jul 2004,647293
Jun 2004,623395
May 2004,629710
Apr 2004,616345
Mar 2004,634033
Feb 2004,605301
Jan 2004,634855
Dec 2003,641053
Nov 2003,596180
Oct 2003,625647
Sep 2003,597976
Aug 2003,638153
Jul 2003,622911
Jun 2003,593798
May 2003,599655
Apr 2003,594912
Mar 2003,610933
Feb 2003,570500
Jan 2003,620512
Dec 2002,618244
Nov 2002,599736
Oct 2002,610030
Sep 2002,583828
Aug 2002,626859
Jul 2002,622351
Jun 2002,596246
May 2002,611573
Apr 2002,586562
Mar 2002,609965
Feb 2002,544423
Jan 2002,603059
Dec 2001,589098
Nov 2001,581879
Oct 2001,614536
Sep 2001,570485
Aug 2001,624740
Jul 2001,617494
Jun 2001,586829
May 2001,604530
Apr 2001,591867
Mar 2001,616161
Feb 2001,551303
Jan 2001,622856
Dec 2000,645249
